unit_id,is_defective,iso_risk_score,iso_prediction,risk_tier
UNIT_00185016,1,45.57644434586252,1,Flag
UNIT_00183239,0,46.43492334933907,1,Flag
UNIT_00185223,1,42.97176109979544,1,Flag
UNIT_00187723,1,51.733278245400754,1,Flag
UNIT_00189097,1,61.181758953154095,1,Flag
UNIT_00196004,1,89.76974248441523,1,Block
UNIT_00195543,1,60.80651665677223,1,Flag
UNIT_00195262,1,89.0698965887147,1,Block
UNIT_00196628,1,50.36271692988011,1,Flag
UNIT_00165201,0,43.316692847681146,1,Flag
UNIT_00190273,1,58.37257980772097,1,Flag
UNIT_00120117,0,44.229585454435835,1,Flag
UNIT_00195816,1,48.5787534657622,1,Flag
UNIT_00187941,1,54.384704437179195,1,Flag
UNIT_00195963,1,83.8862985574372,1,Block
UNIT_00193121,1,52.05215981802444,1,Flag
UNIT_00192085,1,87.74541472037461,1,Block
UNIT_00197409,1,58.019694721193645,1,Flag
UNIT_00188900,1,88.58766433259667,1,Block
UNIT_00189154,1,87.17345387654514,1,Block
UNIT_00165775,0,41.17762856634791,1,Flag
UNIT_00198751,1,47.905770764152486,1,Flag
UNIT_00189189,1,50.845915382318566,1,Flag
UNIT_00142739,0,45.84348464442772,1,Flag
UNIT_00185870,1,87.1565050173472,1,Block
UNIT_00184591,1,59.6685522489413,1,Flag
UNIT_00184211,1,47.42346325227171,1,Flag
UNIT_00193522,1,45.86164758431951,1,Flag
UNIT_00185563,1,49.54162992671555,1,Flag
UNIT_00185485,1,44.59974447788497,1,Flag
UNIT_00149549,0,58.207752816204575,1,Flag
UNIT_00046524,0,42.93797000109545,1,Flag
UNIT_00014641,0,49.4266518290202,1,Flag
UNIT_00195123,1,44.26989266245279,1,Flag
UNIT_00192831,1,44.750851239715495,1,Flag
UNIT_00106865,0,47.23884185289943,1,Flag
UNIT_00193607,1,86.01770720086935,1,Block
UNIT_00114634,0,49.881506928170985,1,Flag
UNIT_00184143,1,43.61975395295514,1,Flag
UNIT_00199161,1,88.11004093450764,1,Block
UNIT_00191466,1,88.50663297214174,1,Block
UNIT_00188943,1,44.04852063763666,1,Flag
UNIT_00067701,0,62.88254520160355,1,Flag
UNIT_00002991,0,43.19384416157315,1,Flag
UNIT_00139890,0,50.732822930683405,1,Flag
UNIT_00190669,1,49.87509025975781,1,Flag
UNIT_00188427,1,87.70374944531379,1,Block
UNIT_00136301,0,42.767560830313364,1,Flag
UNIT_00199986,1,88.59369869244412,1,Block
UNIT_00187314,1,53.0431981458218,1,Flag
UNIT_00174678,0,45.91800200520931,1,Flag
UNIT_00190280,1,87.0302234696829,1,Block
UNIT_00187666,1,44.22439106691992,1,Flag
UNIT_00014197,0,44.15057325083362,1,Flag
UNIT_00185161,1,52.476233487561714,1,Flag
UNIT_00188324,1,89.5441227606463,1,Block
UNIT_00187781,1,44.93155693118422,1,Flag
UNIT_00192171,1,90.37575587495623,1,Block
UNIT_00192540,1,52.66475476038135,1,Flag
UNIT_00167871,0,44.78558736476016,1,Flag
UNIT_00192530,1,49.86784043858039,1,Flag
UNIT_00187242,1,52.82859179685103,1,Flag
UNIT_00197536,1,87.51666244173758,1,Block
UNIT_00194905,1,54.74177395526456,1,Flag
UNIT_00098677,0,47.7616933219165,1,Flag
UNIT_00196817,1,86.34487892896065,1,Block
UNIT_00190286,1,86.30229932067952,1,Block
UNIT_00186172,1,89.55456121379143,1,Block
UNIT_00185661,1,86.04074778018042,1,Block
UNIT_00134837,0,42.17873496104791,1,Flag
UNIT_00068685,0,49.49839365873146,1,Flag
UNIT_00136862,0,42.476024620406605,1,Flag
UNIT_00190863,1,89.06522406889636,1,Block
UNIT_00040515,0,42.835673719519484,1,Flag
UNIT_00191534,1,55.818394883232564,1,Flag
UNIT_00155141,0,81.92337032520153,1,Block
UNIT_00193741,1,49.942157107696104,1,Flag
UNIT_00182245,0,44.79965391758129,1,Flag
UNIT_00191301,1,89.03491552727073,1,Block
UNIT_00194118,1,47.78516792639754,1,Flag
UNIT_00189851,1,42.273284149956325,1,Flag
UNIT_00193999,1,46.49094537690691,1,Flag
UNIT_00187958,1,83.82512574184942,1,Block
UNIT_00134063,0,44.08269071750612,1,Flag
UNIT_00009119,0,45.0884688993613,1,Flag
UNIT_00196839,1,48.61294437390444,1,Flag
UNIT_00188535,1,42.0539233941702,1,Flag
UNIT_00199567,1,47.82968546086849,1,Flag
UNIT_00195979,1,44.668883524398375,1,Flag
UNIT_00023503,0,57.66525386526223,1,Flag
UNIT_00063261,0,42.94323187023676,1,Flag
UNIT_00187635,1,83.19427255181026,1,Block
UNIT_00199532,1,45.986675444624076,1,Flag
UNIT_00149898,0,42.357921553535846,1,Flag
UNIT_00191243,1,64.4865093497476,1,Flag
UNIT_00190160,1,85.27742040369532,1,Block
UNIT_00186547,1,46.74566799006177,1,Flag
UNIT_00169792,0,45.049071789115736,1,Flag
UNIT_00193640,1,87.3169414834574,1,Block
UNIT_00019004,0,41.83163023133487,1,Flag
UNIT_00138234,0,52.08026188793325,1,Flag
UNIT_00062478,0,42.026027638557096,1,Flag
UNIT_00173770,0,47.133447620957206,1,Flag
UNIT_00196904,1,84.16587355161516,1,Block
UNIT_00062950,0,60.85605735626424,1,Flag
UNIT_00191181,1,51.9783015731419,1,Flag
UNIT_00170666,0,44.16622874417894,1,Flag
UNIT_00197988,1,84.28564194556344,1,Block
UNIT_00192319,1,49.17530906685794,1,Flag
UNIT_00194432,1,66.35885688796502,1,Flag
UNIT_00190935,1,88.66786932226228,1,Block
UNIT_00187573,1,42.015295759174144,1,Flag
UNIT_00094572,0,53.69672717899077,1,Flag
UNIT_00196801,1,89.65120177812335,1,Block
UNIT_00189971,1,52.37985756763052,1,Flag
UNIT_00193800,1,88.6761973973648,1,Block
UNIT_00191872,1,89.9407565687896,1,Block
UNIT_00150763,0,54.71332327458784,1,Flag
UNIT_00186525,1,94.74964789964362,1,Block
UNIT_00189574,1,91.96379399798256,1,Block
UNIT_00191457,1,41.408233719296035,1,Flag
UNIT_00065761,0,47.20359652725636,1,Flag
UNIT_00194663,1,53.953732492982446,1,Flag
UNIT_00084126,0,48.326001082436406,1,Flag
UNIT_00197717,1,61.89672638646177,1,Flag
UNIT_00193203,1,44.395451842074145,1,Flag
UNIT_00193110,1,43.56162303993663,1,Flag
UNIT_00196328,1,46.46992801533812,1,Flag
UNIT_00085679,0,42.40605731672956,1,Flag
UNIT_00185866,1,44.54486636068372,1,Flag
UNIT_00189434,1,45.21883626287268,1,Flag
UNIT_00191472,1,45.95473268348838,1,Flag
UNIT_00127802,0,52.31571416174765,1,Flag
UNIT_00121711,0,64.91517915737175,1,Flag
UNIT_00074071,0,49.03428588408149,1,Flag
UNIT_00122205,0,44.34443113395133,1,Flag
UNIT_00048966,0,43.15966760715782,1,Flag
UNIT_00025560,0,44.09792606025308,1,Flag
UNIT_00188759,1,55.66650335696085,1,Flag
UNIT_00100428,0,65.65540556663223,1,Flag
UNIT_00192447,1,53.88680217509085,1,Flag
UNIT_00189531,1,57.087474244717704,1,Flag
UNIT_00190358,1,47.35267166682806,1,Flag
UNIT_00175068,0,45.568088104514715,1,Flag
UNIT_00196109,1,87.23497921339239,1,Block
UNIT_00198115,1,97.40849000931817,1,Block
UNIT_00192207,1,83.29903088661163,1,Block
UNIT_00192511,1,60.789121700205634,1,Flag
UNIT_00189109,1,44.95065525841782,1,Flag
UNIT_00088094,0,46.7930289468412,1,Flag
UNIT_00196096,1,44.12841026018097,1,Flag
UNIT_00195207,1,100.07044323946016,1,Block
UNIT_00185072,1,83.3205694833787,1,Block
UNIT_00069285,0,42.984291084772,1,Flag
UNIT_00191512,1,76.76006087103251,1,Block
UNIT_00188544,1,85.9910352607036,1,Block
UNIT_00199149,1,52.94404347473281,1,Flag
UNIT_00188468,1,45.53604718306603,1,Flag
UNIT_00189368,1,86.97080375091738,1,Block
UNIT_00194722,1,48.00928506073941,1,Flag
UNIT_00190853,1,46.10893810815099,1,Flag
UNIT_00108056,0,59.08545512545594,1,Flag
UNIT_00188964,1,52.26125762568951,1,Flag
UNIT_00187685,1,51.106386584799075,1,Flag
UNIT_00185001,1,44.881617493496684,1,Flag
UNIT_00189649,1,42.22534760152475,1,Flag
UNIT_00016126,0,43.68779141730273,1,Flag
UNIT_00196580,1,85.70673748497663,1,Block
UNIT_00125897,0,41.61618928908685,1,Flag
UNIT_00074183,0,51.55107714605284,1,Flag
UNIT_00197173,1,51.37640800240202,1,Flag
UNIT_00184256,1,48.31464460154676,1,Flag
UNIT_00044074,0,47.345563802212595,1,Flag
UNIT_00189124,1,49.5452103554931,1,Flag
UNIT_00106987,0,46.432542657158365,1,Flag
UNIT_00184526,1,86.70171471940756,1,Block
UNIT_00002825,0,64.40687894470118,1,Flag
UNIT_00199007,1,84.14478034389165,1,Block
UNIT_00103977,0,49.093515386957954,1,Flag
UNIT_00185477,1,84.84847868233416,1,Block
UNIT_00191585,1,55.518913227054995,1,Flag
UNIT_00022693,0,49.71070635560832,1,Flag
UNIT_00062150,0,45.62671369738837,1,Flag
UNIT_00194119,1,90.82178247229285,1,Block
UNIT_00005460,0,58.55915253656161,1,Flag
UNIT_00143945,0,43.45685317127261,1,Flag
UNIT_00186227,1,79.65640466877775,1,Block
UNIT_00191518,1,43.259382909064804,1,Flag
UNIT_00186574,1,48.73929982238779,1,Flag
UNIT_00190800,1,90.83369471750024,1,Block
UNIT_00185650,1,44.27834742326882,1,Flag
UNIT_00080859,0,45.046921455737085,1,Flag
UNIT_00184181,1,49.171434353078915,1,Flag
UNIT_00091595,0,42.81331030913025,1,Flag
UNIT_00047631,0,42.58476168213295,1,Flag
UNIT_00187115,1,45.767784332916044,1,Flag
UNIT_00198833,1,46.0618325765411,1,Flag
UNIT_00196556,1,48.63196895962321,1,Flag
UNIT_00198393,1,51.2672473428833,1,Flag
UNIT_00004910,0,41.20609832360797,1,Flag
UNIT_00187994,1,84.7748088708179,1,Block
UNIT_00196669,1,85.00979860697508,1,Block
UNIT_00189920,1,47.498733063475484,1,Flag
UNIT_00097971,0,41.911644778399015,1,Flag
UNIT_00102142,0,60.66803035769529,1,Flag
UNIT_00188649,1,57.307648148078755,1,Flag
UNIT_00190939,1,48.93077622735056,1,Flag
UNIT_00081751,0,42.97136084769178,1,Flag
UNIT_00190153,1,43.71530668929361,1,Flag
UNIT_00192208,1,54.294462726800255,1,Flag
UNIT_00148980,0,41.37840068847735,1,Flag
UNIT_00193256,1,78.68864155509573,1,Block
UNIT_00186591,1,47.95342848790224,1,Flag
UNIT_00073114,0,58.48687580381659,1,Flag
UNIT_00110487,0,49.549858516152014,1,Flag
UNIT_00021194,0,41.16940190147364,1,Flag
UNIT_00190629,1,86.37046494458846,1,Block
UNIT_00193809,1,48.93057165046398,1,Flag
UNIT_00195955,1,80.59967237337325,1,Block
UNIT_00196602,1,50.28252427218053,1,Flag
UNIT_00199597,1,89.27519844981694,1,Block
UNIT_00071106,0,58.77959250221058,1,Flag
UNIT_00193871,1,50.786872914731234,1,Flag
UNIT_00198895,1,81.08860194180897,1,Block
UNIT_00164900,0,47.26429436377032,1,Flag
UNIT_00021044,0,41.54025577062237,1,Flag
UNIT_00196992,1,45.469297799919296,1,Flag
UNIT_00190826,1,42.84076128427389,1,Flag
UNIT_00195770,1,52.0026768234883,1,Flag
UNIT_00189296,1,90.08411789553443,1,Block
UNIT_00195833,1,49.385442196523044,1,Flag
UNIT_00192261,1,87.8460246213336,1,Block
UNIT_00194657,1,87.26284274292784,1,Block
UNIT_00186781,1,88.83652530352906,1,Block
UNIT_00189161,1,86.9752013825649,1,Block
UNIT_00137490,0,45.201420922437116,1,Flag
UNIT_00186800,1,90.50730493499222,1,Block
UNIT_00191094,1,92.06624430780923,1,Block
UNIT_00127703,0,51.094172564957915,1,Flag
UNIT_00187536,1,45.888940244278004,1,Flag
UNIT_00166274,0,42.73935966119415,1,Flag
UNIT_00195081,1,85.78222517109008,1,Block
UNIT_00186774,1,87.36467464862697,1,Block
UNIT_00197497,1,43.43208601416522,1,Flag
UNIT_00194232,1,45.21946532746268,1,Flag
UNIT_00190306,1,47.51282337909331,1,Flag
UNIT_00164672,0,44.90425910661346,1,Flag
UNIT_00174189,0,46.05189622368718,1,Flag
UNIT_00147683,0,47.86835819186774,1,Flag
UNIT_00186114,1,46.371371046232575,1,Flag
UNIT_00056213,0,43.51377436685274,1,Flag
UNIT_00195200,1,88.98857702130664,1,Block
UNIT_00195994,1,44.46545034621333,1,Flag
UNIT_00198381,1,83.17615570820357,1,Block
UNIT_00194810,1,48.498635037489876,1,Flag
UNIT_00179158,0,50.47118154128363,1,Flag
UNIT_00188129,1,50.08086871362707,1,Flag
UNIT_00192938,1,42.20359302891478,1,Flag
UNIT_00168950,0,52.69450733371808,1,Flag
UNIT_00055328,0,41.275744004282984,1,Flag
UNIT_00189454,1,46.98377378342403,1,Flag
UNIT_00185586,1,46.3153758946117,1,Flag
UNIT_00190487,1,49.60861768436331,1,Flag
UNIT_00079456,0,46.45358125366835,1,Flag
UNIT_00015607,0,45.503852042268875,1,Flag
UNIT_00197946,1,44.28997511678553,1,Flag
UNIT_00194669,1,46.45131955482359,1,Flag
UNIT_00186526,1,86.39250149523994,1,Block
UNIT_00185506,1,89.45044586228636,1,Block
UNIT_00026191,0,41.970982405995414,1,Flag
UNIT_00187582,1,63.00181338561271,1,Flag
UNIT_00196446,1,43.049568026890945,1,Flag
UNIT_00191003,1,84.14287476716325,1,Block
UNIT_00195465,1,80.35358939046502,1,Block
UNIT_00018908,0,55.25545148311674,1,Flag
UNIT_00195588,1,86.71551395380567,1,Block
UNIT_00189698,1,41.91967010397486,1,Flag
UNIT_00185339,1,85.69955530272719,1,Block
UNIT_00194953,1,46.82977294612731,1,Flag
UNIT_00130235,0,56.09457152501171,1,Flag
UNIT_00094735,0,45.124149136163304,1,Flag
UNIT_00126811,0,49.82434062094828,1,Flag
UNIT_00126774,0,45.73853772599033,1,Flag
UNIT_00188253,1,47.7917107407316,1,Flag
UNIT_00187261,1,84.44231481322626,1,Block
UNIT_00195532,1,61.31872385402986,1,Flag
UNIT_00197913,1,88.91434856201884,1,Block
UNIT_00188648,1,49.44586669384588,1,Flag
UNIT_00185018,1,52.305870696778584,1,Flag
UNIT_00196529,1,46.97605102488011,1,Flag
UNIT_00180718,0,56.29143503664727,1,Flag
UNIT_00192225,1,49.280188411606666,1,Flag
UNIT_00185678,1,45.246628140536025,1,Flag
UNIT_00095518,0,64.61026616160498,1,Flag
UNIT_00190723,1,51.966374281031214,1,Flag
UNIT_00073349,0,66.64153449216502,1,Flag
UNIT_00186688,1,83.74022031096077,1,Block
UNIT_00196397,1,55.91543620857718,1,Flag
UNIT_00195518,1,88.36840378281929,1,Block
UNIT_00150932,0,61.821651203266015,1,Flag
UNIT_00022616,0,45.64202489186873,1,Flag
UNIT_00189039,1,82.98383863163247,1,Block
UNIT_00186563,1,91.01204240621755,1,Block
UNIT_00188753,1,45.99254470208762,1,Flag
UNIT_00184059,1,53.65924245822193,1,Flag
UNIT_00195395,1,51.4846654300472,1,Flag
UNIT_00185975,1,82.96263783075918,1,Block
UNIT_00176177,0,52.52855282468444,1,Flag
UNIT_00168841,0,54.32079312059817,1,Flag
UNIT_00161132,0,42.21560462291898,1,Flag
UNIT_00189569,1,50.36971242071658,1,Flag
