unit_id,is_defective,lgb_risk_score,lgb_prediction,risk_tier
UNIT_00185016,1,99.9795652977633,1,Block
UNIT_00185223,1,99.99723702230908,1,Block
UNIT_00187723,1,99.9999987873345,1,Block
UNIT_00189097,1,99.99577688997466,1,Block
UNIT_00199212,1,99.99999796036316,1,Block
UNIT_00196004,1,99.99999868371637,1,Block
UNIT_00195543,1,99.99350752544686,1,Block
UNIT_00184075,1,99.99999770823297,1,Block
UNIT_00195262,1,99.99999721021305,1,Block
UNIT_00196628,1,99.99553243375874,1,Block
UNIT_00190273,1,99.99686261192933,1,Block
UNIT_00195816,1,99.98784835934032,1,Block
UNIT_00187941,1,99.99805802811746,1,Block
UNIT_00195963,1,99.99999749084914,1,Block
UNIT_00193121,1,99.9947609860435,1,Block
UNIT_00192085,1,99.99999753880284,1,Block
UNIT_00197409,1,99.99404274159201,1,Block
UNIT_00188900,1,99.99999825407725,1,Block
UNIT_00189154,1,99.99999756130414,1,Block
UNIT_00198751,1,99.99358390338767,1,Block
UNIT_00189189,1,99.99441292740454,1,Block
UNIT_00185870,1,99.99999732212594,1,Block
UNIT_00184591,1,99.99649287001013,1,Block
UNIT_00184211,1,99.95477253529518,1,Block
UNIT_00193522,1,99.98985964218147,1,Block
UNIT_00185563,1,99.99044905886882,1,Block
UNIT_00185485,1,99.99999924332515,1,Block
UNIT_00195123,1,99.98882738451343,1,Block
UNIT_00192831,1,99.99998554013298,1,Block
UNIT_00193607,1,99.99999784043744,1,Block
UNIT_00184143,1,99.99409677136364,1,Block
UNIT_00199161,1,99.99999818271743,1,Block
UNIT_00191466,1,99.99999792493212,1,Block
UNIT_00188943,1,99.99737003788519,1,Block
UNIT_00190669,1,99.96751985741315,1,Block
UNIT_00188427,1,99.99999837952758,1,Block
UNIT_00199986,1,99.99999819550672,1,Block
UNIT_00187314,1,99.99839124652587,1,Block
UNIT_00190280,1,99.99999841839002,1,Block
UNIT_00187666,1,99.99999694375866,1,Block
UNIT_00185161,1,99.9889947568278,1,Block
UNIT_00188324,1,99.9999975538117,1,Block
UNIT_00187781,1,99.99641475072211,1,Block
UNIT_00192171,1,99.99999729474813,1,Block
UNIT_00192540,1,99.99296965638952,1,Block
UNIT_00192530,1,99.9802140547574,1,Block
UNIT_00187242,1,99.992676952756,1,Block
UNIT_00197536,1,99.999998667399,1,Block
UNIT_00194905,1,99.96428573674532,1,Block
UNIT_00196817,1,99.99999777703246,1,Block
UNIT_00190286,1,99.99999292074071,1,Block
UNIT_00186172,1,99.9999975917082,1,Block
UNIT_00185661,1,99.99999788639519,1,Block
UNIT_00190863,1,99.99999588407054,1,Block
UNIT_00191534,1,99.99260913931484,1,Block
UNIT_00198540,1,99.99458948731504,1,Block
UNIT_00193741,1,99.99586110237479,1,Block
UNIT_00191301,1,99.9999978454089,1,Block
